Raw Filename,SamplerType,windowSize,sample_size ,parallel_count,cluster_centers,time taken
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=51.'] time: 0.574235200881958",WillsSampler,30,60,16,51,0.5742352009
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=16.', 'cluster_centers=6.'] time: 0.1601719856262207",WillsSampler,30,60,16,6,0.1601719856
"WillsSampler.w=30.['sample_size=60.', 'parallel_count=16.'] time: 0.10860013961791992",WillsSampler,30,60,16,0,0.1086001396
VaasInterchangeHopping_Sampler.w=30.['sample_size=30.'] time: 0.364346981048584,Ideal Sampler,30,30,0,0,0.364346981
VaasInterchangeHopping_Sampler.w=30.['sample_size=40.'] time: 0.4255368709564209,Ideal Sampler,30,40,0,0,0.425536871
VaasInterchangeHopping_Sampler.w=30.['sample_size=60.'] time: 0.38724207878112793,Ideal Sampler,30,60,0,0,0.3872420788
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=1.'] time: 0.055349111557006836",WillsSampler,50,30,1,1,0.05534911156
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=11.'] time: 0.18170499801635742",WillsSampler,50,30,1,11,0.181704998
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=16.'] time: 0.43023681640625",WillsSampler,50,30,1,16,0.4302368164
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=21.'] time: 0.31643199920654297",WillsSampler,50,30,1,21,0.3164319992
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=31.'] time: 0.45363497734069824",WillsSampler,50,30,1,31,0.4536349773
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=41.'] time: 0.6759481430053711",WillsSampler,50,30,1,41,0.675948143
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=51.'] time: 0.7176899909973145",WillsSampler,50,30,1,51,0.717689991
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=6.'] time: 0.13275694847106934",WillsSampler,50,30,1,6,0.1327569485
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=1.'] time: 0.7045340538024902",WillsSampler,50,30,1,0,0.7045340538
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=1.'] time: 0.11264514923095703",WillsSampler,50,30,2,1,0.1126451492
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=11.'] time: 0.3741118907928467",WillsSampler,50,30,2,11,0.3741118908
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=16.'] time: 0.24040889739990234",WillsSampler,50,30,2,16,0.2404088974
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=21.'] time: 0.37108802795410156",WillsSampler,50,30,2,21,0.371088028
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=31.'] time: 0.453416109085083",WillsSampler,50,30,2,31,0.4534161091
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=41.'] time: 0.613684892654419",WillsSampler,50,30,2,41,0.6136848927
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=51.'] time: 0.6973230838775635",WillsSampler,50,30,2,51,0.6973230839
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=6.'] time: 0.13731813430786133",WillsSampler,50,30,2,6,0.1373181343
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=2.'] time: 0.4435551166534424",WillsSampler,50,30,2,0,0.4435551167
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=1.'] time: 0.07431602478027344",WillsSampler,50,30,4,1,0.07431602478
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=11.'] time: 0.20343899726867676",WillsSampler,50,30,4,11,0.2034389973
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=16.'] time: 0.28583312034606934",WillsSampler,50,30,4,16,0.2858331203
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=21.'] time: 0.3016071319580078",WillsSampler,50,30,4,21,0.301607132
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=31.'] time: 0.45087385177612305",WillsSampler,50,30,4,31,0.4508738518
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=41.'] time: 0.5875241756439209",WillsSampler,50,30,4,41,0.5875241756
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=51.'] time: 0.6874251365661621",WillsSampler,50,30,4,51,0.6874251366
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=6.'] time: 0.11582279205322266",WillsSampler,50,30,4,6,0.1158227921
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=4.'] time: 0.15398406982421875",WillsSampler,50,30,4,0,0.1539840698
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=1.'] time: 0.09347391128540039",WillsSampler,50,30,8,1,0.09347391129
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=11.'] time: 0.17837309837341309",WillsSampler,50,30,8,11,0.1783730984
"WillsSampler.w=50.['sample_size=30.', 'parallel_count=8.', 'cluster_centers=16.'] time: 0.2508420944213867",WillsSampler,50,30,8,16,0.2508420944
